Seqid_1,n14k2,wt2,RelativeDelta
1,0.028183832840706777,0.02197590150728979,0.2202656880809583
2,0.04458236065929569,0.03269144809948953,0.2667178763968576
3,0.06556729792361839,0.05314012338196633,0.1895331199423362
4,0.03959499414368135,0.032029861247147004,0.19106286186284505
5,0.04111111489312529,0.03429775390734236,0.16573038711052518
6,0.04926758112017989,0.04377480453357238,0.11148865971740758
7,0.05649009701855091,0.04072968240417867,0.27899429185254604
8,0.05340817335470998,0.04061948277692558,0.239451937306457
9,0.0710230762955973,0.06628547240328712,0.0667051349985506
10,0.09779233196539801,0.09089235174342575,0.07055747708740281
11,0.10861670020098774,0.10174344670027631,0.063279896074848
12,0.10817510446197864,0.10408272970085237,0.03783102204042387
13,0.1462830356598081,0.14917840255980017,-0.01940875388333386
14,0.1810785095063855,0.17732561817476947,0.020725216602711653
15,0.14754402113353904,0.1455241255991254,0.013690121218707198
16,0.11863936228754224,0.128683299758231,-0.07805160024307137
17,0.09213074729216676,0.08707673300679188,0.05485697700190687
18,0.08132475742395423,0.07514560965554688,0.07598113986611509
19,0.07131959547642544,0.06074615276019952,0.14825438430481497
20,0.06291716439669172,0.04684765444387068,0.25540740920081895
21,0.04018095939929941,0.02895332842417496,0.27942665239895226
22,0.07174801512350219,0.07133937077266674,0.005695549209717436
23,0.05564363465461241,0.0541615199236577,0.026635836069200013
24,0.03893911031024241,0.03712441616507938,0.046603379756360155
25,0.031079692851009328,0.028355626230993677,0.08764779732780355
26,0.03975843717208526,0.0375156332979656,0.056410765453687194
27,0.04444438868217498,0.042586565994583415,0.04180106291655817
28,0.03730171077541206,0.035247437386658,0.055071827700411226
29,0.03949271895667701,0.03939506150255061,0.0024727964218805264
30,0.050573263244469126,0.047044724226397654,0.06977083920835118
31,0.05621470382002646,0.052723686245109036,0.062101502590746586
32,0.06480016339254588,0.061849895433661796,0.045528711725801904
33,0.043145955924461694,0.04333615782888579,-0.0043889886402737974
34,0.056330621253275315,0.057810115744852945,-0.02559231152740523
